id,23BJ_DTA,22BJ_SHS,22BJ_DTA,23BJ_SHS,22MS_SHS,23MS_DTA,22MS_DTA,23MS_SHS,23MS_EH,23MS_EL,22BJ_EL,22MS_EH,22BJ_EH,22MS_EL,23BJ_EH,23BJ_EL
120,62.18,11.17,56.02,12.67,11.0,84.17,75.56,12.67,62.93,12.34,12.75,36.35,48.92,14.79,47.39,11.34
121,60.97,14.0,61.01,14.67,14.0,84.84,81.93,14.96,80.37,13.55,10.67,69.39,87.56,12.25,81.18,11.0
123,68.12,14.83,63.49,15.67,13.0,89.56,87.07,15.37,85.76,15.29,17.75,69.81,91.71,,67.12,18.92
124,73.77,13.25,67.03,11.33,12.5,91.26,89.99,8.94,71.59,11.4,14.2,84.79,96.39,14.93,77.98,14.57
125,68.46,13.7,69.01,11.73,,102.48,94.29,,130.21,,12.81,91.32,103.51,,91.97,15.51
126,77.36,14.5,69.03,14.0,15.0,98.39,91.02,13.32,103.9,11.63,14.5,93.97,122.22,14.17,85.99,15.25
127,61.79,11.5,57.02,11.0,13.0,87.11,79.73,13.29,82.93,13.48,13.0,61.41,86.0,14.03,64.37,11.32
128,64.92,13.83,64.54,13.0,16.5,86.38,89.1,16.03,93.94,13.97,12.59,84.93,83.03,13.49,75.41,12.01
129,71.7,14.0,61.51,11.6,15.5,87.24,,14.65,88.55,12.97,17.17,74.63,92.86,17.98,84.43,14.91
130,80.47,12.17,69.01,10.0,9.0,99.3,91.2,10.66,111.79,15.64,13.75,123.53,121.05,15.64,89.11,13.41
131,60.28,14.5,59.01,14.33,14.5,82.88,80.04,12.63,57.56,14.96,15.34,44.09,76.29,16.56,41.99,14.66
133,73.58,15.67,67.51,17.0,11.72,93.88,92.02,16.33,103.19,10.88,11.42,104.24,97.13,11.38,87.23,13.0
134,69.93,14.5,59.01,12.33,13.5,87.2,89.49,12.99,57.33,10.63,14.59,56.93,58.8,13.68,64.88,10.24
136,73.25,15.5,61.49,13.67,15.5,87.2,,13.66,83.6,13.52,11.59,85.74,93.61,14.29,75.39,11.69
137,69.42,13.0,64.48,11.67,12.0,88.52,83.61,13.63,63.76,12.08,13.4,60.85,86.93,15.41,63.02,12.66
138,70.6,14.0,61.99,12.83,16.0,87.4,81.86,15.33,75.39,15.75,8.84,62.96,65.21,17.66,58.38,12.08
139,70.74,16.67,66.0,15.0,15.5,89.92,90.36,16.02,102.55,10.15,12.12,97.3,115.55,10.82,89.78,11.91
140,68.32,13.84,59.51,13.67,13.0,87.42,,14.32,104.84,11.18,11.99,99.85,108.79,13.32,85.78,12.24
141,65.22,14.5,56.52,13.33,15.0,84.13,78.39,15.41,63.01,12.01,12.32,73.67,72.42,12.45,42.07,10.25
142,70.95,,63.54,15.07,11.72,88.46,87.42,17.7,113.39,13.42,,67.12,61.39,13.12,82.3,14.51
144,72.17,16.0,64.51,14.67,17.0,91.51,,16.19,120.96,12.4,11.84,113.03,133.46,14.06,96.59,12.22
145,63.41,16.0,61.52,13.33,12.72,90.24,,15.03,97.66,13.97,16.63,76.67,76.71,15.84,66.46,13.85
146,75.29,10.7,65.53,14.27,15.0,,88.24,14.32,94.28,13.17,8.48,75.22,75.21,12.18,79.4,12.26
147,65.57,13.17,62.03,12.67,15.0,88.82,,13.07,82.51,10.94,12.0,66.56,86.95,14.58,62.1,11.47
148,68.83,10.25,58.53,,,87.04,79.81,11.01,98.52,17.12,11.48,67.53,74.05,10.08,62.41,
149,81.9,13.67,60.55,14.0,13.0,96.57,80.79,13.31,100.47,10.73,15.0,80.18,105.12,15.67,85.95,12.46
150,74.57,13.5,65.53,14.93,11.5,100.66,96.78,10.07,115.5,13.61,13.67,133.14,128.71,12.82,77.74,13.88
151,66.67,15.84,61.54,16.0,15.5,88.29,85.03,14.7,61.86,13.45,14.24,86.3,85.22,14.64,65.76,14.22
152,57.71,9.34,51.53,9.27,10.5,71.64,61.03,9.39,24.03,11.21,12.0,41.64,54.31,13.69,21.45,10.49
