Taxa,TotalIF21SY,TotalIF21CP,O20SY,TotalFA20SY,P21SY,TotalFA21SY,TotalIF20SY,O20NK,P21CP,TotalIF20NK,O21SY,TotalFA20NK,P20SY,TotalFA21CP,O21CP,P20NK
G53,4607.95,5774.01,19.93,283.55,42.77,592.92,4465.91,20.39,40.57,4639.04,20.42,334.04,43.14,404.83,20.88,40.8
G54,4833.99,3510.78,21.53,284.91,41.49,516.87,3776.92,,41.2,,19.57,,38.76,414.88,20.5,
G55,4922.31,3916.9,20.78,285.23,40.37,386.48,3961.01,20.17,39.75,1473.5,21.25,307.64,42.41,346.22,21.39,38.73
G56,4538.03,3536.23,19.89,301.18,42.78,377.11,4200.2,,42.67,1345.1,19.34,377.07,43.76,315.97,19.5,
G57,3627.97,3038.5,20.45,290.07,44.04,380.47,4449.89,19.73,43.0,2199.63,19.63,362.69,42.35,328.33,19.62,41.39
G58,6824.93,6165.93,20.38,304.63,39.24,367.68,5121.38,19.1,40.36,3074.77,20.54,370.08,41.83,281.53,20.99,41.8
G59,3778.26,4397.34,19.53,267.16,45.19,440.45,5076.61,19.31,42.96,2160.24,19.05,315.48,44.72,332.87,19.15,42.71
G6,6588.87,6003.13,21.62,372.39,38.79,480.72,6743.24,20.86,40.65,3451.35,21.12,683.21,39.82,499.21,20.99,40.54
G60,3694.05,3441.49,20.79,233.58,41.0,314.43,3750.67,20.59,40.81,617.78,20.5,392.45,41.25,268.41,21.48,39.3
G61,4997.66,4738.91,18.72,396.24,41.38,442.41,4873.52,,41.06,,19.41,,41.97,598.2,19.56,
G62,3828.08,3068.77,21.04,291.65,43.14,503.31,5393.85,20.68,40.7,1659.67,20.58,347.7,41.35,367.84,20.86,40.87
G63,4828.44,4135.23,21.26,277.36,41.46,403.18,5069.7,21.15,40.28,3099.61,20.0,435.03,40.86,414.38,21.0,38.49
G64,4863.97,3858.1,21.17,239.44,42.19,405.04,3384.12,,40.56,1896.69,20.93,320.15,41.37,416.35,20.5,
G65,3185.58,2716.13,19.52,267.6,43.35,396.8,3753.09,19.35,44.3,1635.29,19.64,308.92,44.24,535.09,19.02,43.3
G66,3520.0,3106.74,20.29,266.82,44.14,452.83,5793.95,,42.04,,19.33,,42.62,380.82,20.17,
G67,6466.15,3934.06,21.24,278.82,44.54,435.15,4738.97,18.68,43.74,2459.51,19.86,366.0,41.7,381.48,20.44,43.28
G68,4031.54,2873.73,21.29,202.08,41.49,451.09,4223.33,20.32,40.86,1924.26,20.4,351.0,40.28,412.67,20.91,40.97
G69,4623.1,2927.05,20.64,185.13,42.06,346.12,3918.35,20.46,43.82,1607.73,20.35,326.97,43.13,350.68,20.46,43.27
G7,4713.8,4650.76,19.83,306.62,45.02,467.87,5018.46,19.57,44.09,3598.26,19.05,350.31,44.38,405.68,19.1,42.34
G70,4103.98,3172.35,20.16,269.03,43.23,438.81,4958.42,20.5,42.47,1764.78,19.84,364.38,43.11,458.67,20.38,39.98
G71,6734.52,,20.15,290.92,42.09,522.57,4682.16,,,4049.97,19.84,425.57,41.59,,,
G72,4054.74,3939.4,21.37,268.32,40.64,448.54,3612.08,20.47,39.83,1511.84,20.8,368.77,41.25,472.17,21.03,41.06
G73,,4169.8,18.72,295.34,43.27,475.89,3675.98,,42.12,,18.91,,44.09,397.77,18.77,
G74,3746.4,2986.46,20.35,214.06,41.36,433.0,4082.34,20.91,40.69,1762.22,20.43,301.41,42.35,318.12,20.43,41.1
G75,4727.73,3398.21,20.86,235.5,39.99,425.97,3894.04,20.32,40.83,1749.38,21.93,441.1,42.46,379.62,20.99,40.28
G76,5254.5,3541.17,21.54,236.52,39.45,433.98,3883.96,21.32,40.62,1888.15,21.8,340.87,40.86,278.18,21.37,39.25
G77,3606.98,2786.19,19.55,363.28,45.75,611.55,4273.91,19.61,45.79,1208.23,19.1,294.05,46.0,398.42,19.06,40.26
G78,3022.45,3175.54,20.54,343.49,40.63,433.74,4206.02,19.81,40.01,1375.3,21.22,321.6,43.16,368.2,21.45,43.92
G79,3010.33,2572.1,20.95,301.32,40.64,446.69,4599.9,,40.71,,20.97,,41.7,283.73,21.25,
G8,4692.95,4262.07,19.62,317.72,41.64,655.1,4286.88,18.99,40.95,3052.93,19.88,587.19,43.56,473.32,19.98,42.31
G80,3808.19,2769.28,21.39,342.56,41.31,511.29,4676.5,,39.7,,20.76,,41.36,376.55,21.1,
G81,3233.82,,21.03,370.56,41.84,532.37,3475.13,,,,19.81,,41.01,,,
G82,3220.8,,20.5,259.81,,422.23,3324.41,19.34,,1023.66,,258.0,42.16,,,40.37
G83,3567.87,3402.9,20.48,392.02,43.56,721.41,4186.5,,41.6,,19.76,,42.85,432.31,20.53,
G84,4247.65,3229.63,20.94,305.9,41.79,484.9,4860.32,,40.67,,20.08,,41.34,412.23,20.85,
G85,5041.1,4584.16,21.69,332.28,40.96,542.8,4943.97,22.0,39.85,2637.2,21.05,389.23,39.66,514.4,21.5,38.32
G86,4252.22,3425.78,20.76,333.95,41.65,583.34,4786.53,19.39,40.33,3264.61,20.06,358.22,41.96,471.01,21.06,40.75
G87,8762.45,6171.91,21.25,321.2,42.81,468.52,4689.86,19.97,41.41,3732.23,19.29,371.56,41.71,501.24,20.94,40.18
G88,4781.04,4647.84,19.4,330.36,42.1,494.93,4820.89,,41.04,,19.19,,43.33,466.68,19.87,
G89,6716.76,4974.57,19.79,334.95,44.03,519.64,4911.67,20.39,41.5,3831.41,19.29,339.08,43.04,510.57,20.15,39.93
G9,4962.85,4207.98,20.97,308.74,41.78,443.76,4915.59,,40.78,,20.56,,41.91,550.55,20.85,
G90,4882.1,2994.96,20.2,297.7,44.62,540.74,5240.48,19.16,40.57,4916.86,18.09,372.17,41.91,429.48,19.82,41.57
G91,6540.03,6489.16,18.78,299.03,42.91,475.0,5379.19,20.77,42.62,3161.34,18.49,433.99,44.2,441.22,18.72,41.56
G92,5263.8,4687.34,21.02,359.63,42.14,470.08,6268.55,21.08,42.79,3170.5,20.12,265.61,41.25,445.4,20.12,41.91
G93,5281.11,3927.02,19.76,226.45,45.3,393.81,5165.53,19.83,44.61,2389.04,20.01,352.01,45.85,399.42,20.24,42.85
G94,4627.06,5753.78,20.98,271.22,40.86,435.32,6518.75,20.98,43.01,1519.19,19.67,349.67,41.5,437.89,19.75,40.36
G95,4061.41,2960.46,20.14,295.81,44.26,494.58,3896.23,22.51,43.82,1708.72,19.43,300.19,44.54,441.21,20.13,36.7
G96,4998.46,3221.5,21.47,280.59,41.12,492.43,4292.03,20.33,41.98,3210.86,20.23,305.87,40.64,400.31,19.9,40.38
G97,4632.9,4625.24,20.81,271.46,38.86,436.85,5810.86,18.84,40.63,1147.08,20.73,309.03,41.36,453.78,20.63,42.55
G98,4353.78,2961.31,20.31,311.85,44.96,421.84,4682.19,19.52,44.86,1212.67,18.57,506.22,43.91,400.42,19.58,41.08
G99,4751.73,3737.56,20.48,345.28,42.86,520.32,4774.17,19.48,43.16,1552.57,19.88,383.51,43.72,539.65,20.04,43.36
ZH13,3886.13,3873.82,19.06,321.35,46.2,455.58,3583.35,18.72,44.16,2822.6,18.38,295.2,44.99,512.49,18.64,42.78
ZH35,5262.5,4021.37,22.23,321.95,37.79,428.13,4109.04,21.96,39.29,3132.38,21.98,312.29,38.24,457.96,21.93,36.41
